Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.233,0.006,tensor(3.6177),tensor(15.5080),tensor(38.8802),0.01
1,0.23,0.006,tensor(2.4874),tensor(35.6401),tensor(68.3758),0.01
2,0.23,0.005,tensor(2.0433),tensor(45.2134),tensor(77.3723),0.01
3,0.23,0.006,tensor(1.3998),tensor(61.8224),tensor(87.1029),0.001
4,0.23,0.005,tensor(1.1806),tensor(67.0756),tensor(89.8396),0.001
5,0.231,0.006,tensor(1.1075),tensor(69.1098),tensor(90.8252),0.001
6,0.229,0.005,tensor(1.0265),tensor(71.1754),tensor(91.8633),0.001
7,0.23,0.005,tensor(0.9586),tensor(73.0104),tensor(92.9118),0.001
8,0.23,0.005,tensor(0.9156),tensor(73.7548),tensor(93.3312),0.001
9,0.229,0.005,tensor(0.8589),tensor(76.0721),tensor(93.9289),0.001
10,0.23,0.005,tensor(0.8019),tensor(77.6659),tensor(94.6944),0.0001
11,0.23,0.005,tensor(0.8020),tensor(77.7079),tensor(94.5266),0.0001
12,0.23,0.005,tensor(0.7640),tensor(78.8298),tensor(94.7782),0.0001
13,0.23,0.005,tensor(0.7763),tensor(78.7984),tensor(94.6210),1e-05
14,0.23,0.005,tensor(0.7857),tensor(78.2112),tensor(94.6734),1e-05
15,0.23,0.005,tensor(0.7588),tensor(79.0395),tensor(94.9984),1e-05
16,0.231,0.005,tensor(0.7663),tensor(78.5153),tensor(94.9775),1e-05
17,0.229,0.005,tensor(0.7676),tensor(78.8298),tensor(94.9460),1e-05
18,0.231,0.006,tensor(0.7533),tensor(79.4170),tensor(94.9670),1.0000000000000002e-06
19,0.23,0.005,tensor(0.7522),tensor(79.1968),tensor(95.1977),1.0000000000000002e-06
20,0.23,0.005,tensor(0.7596),tensor(78.7145),tensor(94.9670),1.0000000000000002e-06
21,0.23,0.005,tensor(0.7713),tensor(78.1378),tensor(95.3549),1.0000000000000002e-06
22,0.23,0.005,tensor(0.7531),tensor(78.9137),tensor(95.3340),1.0000000000000002e-06
23,0.231,0.005,tensor(0.7451),tensor(79.2597),tensor(95.4074),1.0000000000000002e-06
24,0.23,0.005,tensor(0.7651),tensor(79.1129),tensor(95.1767),1.0000000000000002e-07
25,0.229,0.005,tensor(0.7564),tensor(78.7040),tensor(94.9775),1.0000000000000002e-07
26,0.231,0.005,tensor(0.7477),tensor(79.4485),tensor(94.9775),1.0000000000000004e-08
27,0.23,0.005,tensor(0.7519),tensor(79.3751),tensor(94.7468),1.0000000000000004e-08
28,0.229,0.004,tensor(0.7727),tensor(78.7145),tensor(95.0194),1.0000000000000004e-08
29,0.23,0.005,tensor(0.7632),tensor(78.4838),tensor(94.8621),1.0000000000000004e-08
30,0.231,0.005,tensor(0.7540),tensor(78.6725),tensor(95.2920),1.0000000000000004e-08
31,0.231,0.006,tensor(0.7676),tensor(78.9556),tensor(94.7782),1.0000000000000004e-08
32,0.231,0.005,tensor(0.7468),tensor(79.6582),tensor(95.1347),1.0000000000000004e-08
33,0.23,0.005,tensor(0.7785),tensor(78.0644),tensor(94.9460),1.0000000000000004e-08
34,0.23,0.005,tensor(0.7572),tensor(78.7040),tensor(95.1242),1.0000000000000004e-08
35,0.23,0.005,tensor(0.7570),tensor(79.1654),tensor(95.1872),1.0000000000000004e-08
36,0.23,0.005,tensor(0.7609),tensor(78.8718),tensor(95.0404),1.0000000000000004e-08
37,0.23,0.005,tensor(0.7732),tensor(79.0815),tensor(94.9041),1.0000000000000004e-08
38,0.23,0.005,tensor(0.7588),tensor(78.7459),tensor(95.3654),1.0000000000000004e-08
39,0.231,0.005,tensor(0.7622),tensor(78.3160),tensor(95.0823),1.0000000000000004e-08
